period,respondent,respondent-name,type-name,value,value-units
2024-05-11T00,SOCO,"Southern Company Services, Inc. - Trans",Demand,29020,megawatthours
2024-05-11T01,SOCO,"Southern Company Services, Inc. - Trans",Demand,27675,megawatthours
2024-05-11T02,SOCO,"Southern Company Services, Inc. - Trans",Demand,26873,megawatthours
2024-05-11T03,SOCO,"Southern Company Services, Inc. - Trans",Demand,25119,megawatthours
2024-05-11T04,SOCO,"Southern Company Services, Inc. - Trans",Demand,23332,megawatthours
2024-05-11T05,SOCO,"Southern Company Services, Inc. - Trans",Demand,21599,megawatthours
2024-05-11T06,SOCO,"Southern Company Services, Inc. - Trans",Demand,20481,megawatthours
2024-05-11T07,SOCO,"Southern Company Services, Inc. - Trans",Demand,19566,megawatthours
2024-05-11T08,SOCO,"Southern Company Services, Inc. - Trans",Demand,18930,megawatthours
2024-05-11T09,SOCO,"Southern Company Services, Inc. - Trans",Demand,18604,megawatthours
2024-05-11T10,SOCO,"Southern Company Services, Inc. - Trans",Demand,18592,megawatthours
2024-05-11T11,SOCO,"Southern Company Services, Inc. - Trans",Demand,18767,megawatthours
2024-05-11T12,SOCO,"Southern Company Services, Inc. - Trans",Demand,19195,megawatthours
2024-05-11T13,SOCO,"Southern Company Services, Inc. - Trans",Demand,20298,megawatthours
2024-05-11T14,SOCO,"Southern Company Services, Inc. - Trans",Demand,21280,megawatthours
2024-05-11T15,SOCO,"Southern Company Services, Inc. - Trans",Demand,22231,megawatthours
2024-05-11T16,SOCO,"Southern Company Services, Inc. - Trans",Demand,23129,megawatthours
2024-05-11T17,SOCO,"Southern Company Services, Inc. - Trans",Demand,23828,megawatthours
2024-05-11T18,SOCO,"Southern Company Services, Inc. - Trans",Demand,24272,megawatthours
2024-05-11T19,SOCO,"Southern Company Services, Inc. - Trans",Demand,25113,megawatthours
2024-05-11T20,SOCO,"Southern Company Services, Inc. - Trans",Demand,25950,megawatthours
2024-05-11T21,SOCO,"Southern Company Services, Inc. - Trans",Demand,26803,megawatthours
2024-05-11T22,SOCO,"Southern Company Services, Inc. - Trans",Demand,27228,megawatthours
2024-05-11T23,SOCO,"Southern Company Services, Inc. - Trans",Demand,27031,megawatthours
2024-05-12T00,SOCO,"Southern Company Services, Inc. - Trans",Demand,26050,megawatthours
2024-05-12T01,SOCO,"Southern Company Services, Inc. - Trans",Demand,24951,megawatthours
2024-05-12T02,SOCO,"Southern Company Services, Inc. - Trans",Demand,24240,megawatthours
2024-05-12T03,SOCO,"Southern Company Services, Inc. - Trans",Demand,23009,megawatthours
2024-05-12T04,SOCO,"Southern Company Services, Inc. - Trans",Demand,21485,megawatthours
2024-05-12T05,SOCO,"Southern Company Services, Inc. - Trans",Demand,20070,megawatthours
2024-05-12T06,SOCO,"Southern Company Services, Inc. - Trans",Demand,18985,megawatthours
2024-05-12T07,SOCO,"Southern Company Services, Inc. - Trans",Demand,18630,megawatthours
2024-05-12T08,SOCO,"Southern Company Services, Inc. - Trans",Demand,18106,megawatthours
2024-05-12T09,SOCO,"Southern Company Services, Inc. - Trans",Demand,18264,megawatthours
2024-05-12T10,SOCO,"Southern Company Services, Inc. - Trans",Demand,18236,megawatthours
2024-05-12T11,SOCO,"Southern Company Services, Inc. - Trans",Demand,18376,megawatthours
2024-05-12T12,SOCO,"Southern Company Services, Inc. - Trans",Demand,18597,megawatthours
2024-05-12T13,SOCO,"Southern Company Services, Inc. - Trans",Demand,19663,megawatthours
2024-05-12T14,SOCO,"Southern Company Services, Inc. - Trans",Demand,20672,megawatthours
2024-05-12T15,SOCO,"Southern Company Services, Inc. - Trans",Demand,21338,megawatthours
2024-05-12T16,SOCO,"Southern Company Services, Inc. - Trans",Demand,21793,megawatthours
2024-05-12T17,SOCO,"Southern Company Services, Inc. - Trans",Demand,22704,megawatthours
2024-05-12T18,SOCO,"Southern Company Services, Inc. - Trans",Demand,23563,megawatthours
